Huffman Encoding Report (Word-Level)
Original Text Length: 69456 tokens
Symbol Table:
Symbol | Frequency | Huffman Code | Bits Used
for        | 1008       | 010110     | 6048
research   | 1056       | 010111     | 6336
of         | 2112       | 01100      | 10560
able       | 528        | 0110100    | 3696
possible   | 144        | 011010100  | 1296
line,      | 144        | 011010101  | 1296
prepared   | 144        | 011010110  | 1296
resources  | 144        | 011010111  | 1296
using,     | 144        | 011011000  | 1296
dream      | 144        | 011011001  | 1296
only       | 144        | 011011010  | 1296
independent | 144        | 011011011  | 1296
Professor  | 288        | 01101110   | 2304
excite     | 144        | 011011110  | 1296
Experience | 144        | 011011111  | 1296
significant | 144        | 011100000  | 1296
any        | 144        | 011100001  | 1296
willing    | 144        | 011100010  | 1296
role       | 144        | 011100011  | 1296
map        | 144        | 011100100  | 1296
Bozeman    | 144        | 011100101  | 1296
student.   | 144        | 011100110  | 1296
college    | 144        | 011100111  | 1296
this       | 576        | 0111010    | 4032
died       | 288        | 01110110   | 2304
Dame’s     | 144        | 011101110  | 1296
necrosis   | 144        | 011101111  | 1296
effects.   | 144        | 011110000  | 1296
Biological | 144        | 011110001  | 1296
As         | 144        | 011110010  | 1296
scattered  | 144        | 011110011  | 1296
cytometry  | 144        | 011110100  | 1296
anti-inflammatory | 144        | 011110101  | 1296
whole      | 144        | 011110110  | 1296
students   | 144        | 011110111  | 1296
played     | 288        | 01111100   | 2304
Later,     | 144        | 011111010  | 1296
cells.     | 144        | 011111011  | 1296
goal       | 144        | 011111100  | 1296
Sciences,  | 144        | 011111101  | 1296
them       | 288        | 01111111   | 2304
months     | 144        | 100000000  | 1296
cobalt     | 144        | 100000001  | 1296
through    | 144        | 100000010  | 1296
4D         | 144        | 100000011  | 1296
Dame       | 144        | 100000100  | 1296
Living     | 144        | 100000101  | 1296
again      | 144        | 100000110  | 1296
sought     | 144        | 100000111  | 1296
trying     | 288        | 10000100   | 2304
Under      | 144        | 100001010  | 1296
science.   | 144        | 100001011  | 1296
realize    | 144        | 100001100  | 1296
trying,    | 144        | 100001101  | 1296
after      | 288        | 10000111   | 2304
campus     | 144        | 100010000  | 1296
teacher,   | 144        | 100010001  | 1296
nanoparticles | 288        | 10001001   | 2304
treating   | 144        | 100010100  | 1296
curcumin,  | 144        | 100010101  | 1296
Wendy      | 144        | 100010110  | 1296
an         | 144        | 100010111  | 1296
live       | 144        | 100011000  | 1296
equipment  | 144        | 100011001  | 1296
(programmed | 144        | 100011010  | 1296
scaffold   | 144        | 100011011  | 1296
its        | 144        | 100011100  | 1296
curcumin-bound | 144        | 100011101  | 1296
Lebedev    | 144        | 100011110  | 1296
damage)    | 144        | 100011111  | 1296
experience | 288        | 10010000   | 2304
iron       | 144        | 100100010  | 1296
once       | 144        | 100100011  | 1296
weeks,     | 144        | 100100100  | 1296
program.   | 144        | 100100101  | 1296
delivery,  | 144        | 100100110  | 1296
versus     | 144        | 100100111  | 1296
past       | 144        | 100101000  | 1296
participating | 144        | 100101001  | 1296
Research   | 144        | 100101010  | 1296
compound   | 144        | 100101011  | 1296
.          | 144        | 100101100  | 1296
gain       | 144        | 100101101  | 1296
if         | 144        | 100101110  | 1296
helped     | 144        | 100101111  | 1296
Undergraduates | 144        | 100110000  | 1296
due        | 144        | 100110001  | 1296
necrosis.  | 144        | 100110010  | 1296
death      | 144        | 100110011  | 1296
Notre      | 288        | 10011010   | 2304
determine  | 288        | 10011011   | 2304
University | 144        | 100111000  | 1296
For        | 144        | 100111001  | 1296
bonded     | 144        | 100111010  | 1296
worked,    | 144        | 100111011  | 1296
dioxide    | 144        | 100111100  | 1296
9          | 144        | 100111101  | 1296
Georgia    | 144        | 100111110  | 1296
specifically | 144        | 100111111  | 1296
cell       | 288        | 10100000   | 2304
UND        | 144        | 101000010  | 1296
used       | 144        | 101000011  | 1296
his        | 144        | 101000100  | 1296
(CoFe2O3)  | 144        | 101000101  | 1296
who        | 144        | 101000110  | 1296
cored      | 144        | 101000111  | 1296
help       | 288        | 10100100   | 2304
apoptosis  | 288        | 10100101   | 2304
place      | 144        | 101001100  | 1296
and/or     | 144        | 101001101  | 1296
flow       | 144        | 101001110  | 1296
nanoparticles. | 144        | 101001111  | 1296
from       | 576        | 1010100    | 4032
compounds, | 144        | 101010100  | 1296
different  | 144        | 101010101  | 1296
necessary  | 144        | 101010110  | 1296
hands-on   | 144        | 101010111  | 1296
image      | 144        | 101011000  | 1296
take       | 144        | 101011001  | 1296
it         | 288        | 10101101   | 2304
kill       | 144        | 101011100  | 1296
growing    | 144        | 101011101  | 1296
From       | 144        | 101011110  | 1296
microscopy. | 144        | 101011111  | 1296
mentorship | 144        | 101100000  | 1296
athletes,  | 144        | 101100001  | 1296
privilege  | 144        | 101100010  | 1296
very       | 144        | 101100011  | 1296
cells      | 576        | 1011001    | 4032
difficult  | 144        | 101101000  | 1296
(REU)      | 144        | 101101001  | 1296
school.    | 144        | 101101010  | 1296
beyond     | 144        | 101101011  | 1296
which      | 144        | 101101100  | 1296
(cell      | 144        | 101101101  | 1296
biology    | 144        | 101101110  | 1296
oxide      | 144        | 101101111  | 1296
known      | 288        | 10111000   | 2304
love       | 144        | 101110010  | 1296
why        | 144        | 101110011  | 1296
laser,     | 144        | 101110100  | 1296
light      | 144        | 101110101  | 1296
death)     | 144        | 101110110  | 1296
living,    | 144        | 101110111  | 1296
on         | 576        | 1011110    | 4032
students,  | 288        | 10111110   | 2304
department | 144        | 101111110  | 1296
flavonoid  | 144        | 101111111  | 1296
the        | 4656       | 1100       | 18624
student    | 288        | 11010000   | 2304
find       | 288        | 11010001   | 2304
other      | 576        | 1101001    | 4032
in,        | 144        | 110101000  | 1296
con-focal  | 144        | 110101001  | 1296
could      | 144        | 110101010  | 1296
life       | 144        | 110101011  | 1296
obtain     | 144        | 110101100  | 1296
titanium   | 144        | 110101101  | 1296
(TiO2)     | 144        | 110101110  | 1296
opportunity | 144        | 110101111  | 1296
was        | 1248       | 110110     | 7488
and        | 1248       | 110111     | 7488
data,      | 144        | 111000000  | 1296
collected  | 144        | 111000001  | 1296
suspended  | 144        | 111000010  | 1296
Through    | 96         | 1110000110 | 960
results.   | 96         | 1110000111 | 960
cells,     | 336        | 11100010   | 2688
or         | 336        | 11100011   | 2688
high       | 672        | 1110010    | 4704
me         | 672        | 1110011    | 4704
to         | 2976       | 11101      | 14880
that       | 720        | 1111000    | 5040
had        | 720        | 1111001    | 5040
both       | 96         | 1111010000 | 960
further    | 96         | 1111010001 | 960
knew       | 96         | 1111010010 | 960
always     | 96         | 1111010011 | 960
required   | 96         | 1111010100 | 960
we         | 96         | 1111010101 | 960
By         | 96         | 1111010110 | 960
write.     | 96         | 1111010111 | 960
cancer     | 384        | 11110110   | 3072
writing    | 96         | 1111011100 | 960
one-on-one | 96         | 1111011101 | 960
seminars   | 192        | 111101111  | 1728
curcumin-functionalized | 96         | 1111100000 | 960
results    | 96         | 1111100001 | 960
CoFe2O4/TiO2 | 96         | 1111100010 | 960
so         | 96         | 1111100011 | 960
ready      | 96         | 1111100100 | 960
wasn’t     | 96         | 1111100101 | 960
end        | 192        | 111110011  | 1728
despite    | 96         | 1111101000 | 960
job,       | 96         | 1111101001 | 960
pursue     | 192        | 111110101  | 1728
HeLa       | 384        | 11111011   | 3072
didn’t     | 96         | 1111110000 | 960
While      | 96         | 1111110001 | 960
doing.     | 96         | 1111110010 | 960
leave      | 96         | 1111110011 | 960
nanoconjugates | 96         | 1111110100 | 960
core-shell | 96         | 1111110101 | 960
unknown    | 96         | 1111110110 | 960
indicated  | 96         | 1111110111 | 960
during     | 96         | 1111111000 | 960
offer,     | 96         | 1111111001 | 960
be         | 96         | 1111111010 | 960
will       | 96         | 1111111011 | 960
cervical   | 384        | 11111111   | 3072

============================================================
Original size (bits): 1111296
Compressed size (bits): 518016
Compression ratio: 53.39%
Unique symbols: 295
Most frequent symbol: 'the' (4656 times)
Least frequent symbol: 'Along' (96 times)

Actual compression ratio (file sizes): 84.67%
Original size: 422448 bytes, Compressed size: 64753 bytes
